party_id,lineage,type,category,name_ka,registered_in
abkh_1919,,party,historic,აფხაზეთის ნაციონალური პარტია,parl_1919
aesth_1919,,party,historic,ესთეტიური ლიგა პატრიოტებისა,parl_1919
borchalo_1919,,party,historic,ბორჩალოს მაზრის მცხოვრებ მუსულმანთა ჯგუფი,parl_1919
dashnaks,,party,historic,"„დაშნაკცუთიუნ""",parl_1919
federalists_1919,,party,historic,საქართველოს სოციალისტ-ფედერალისტთა პარტია,parl_1919
hellenic_1919,,party,historic,საქართველოს ელინთა დემოკრატიული ჯგუფი,parl_1919
indie_1919,,party,historic,დამოუკიდებელთა (უპარტიო) კავშირი,parl_1919
left_federalists_1919,,party,historic,მემარცხენე სოციალისტ-ფედერალისტთა მაშვრალთა პარტია,parl_1919
mkhedrioni_1992,,bloc,historic,მხედრიონი / 11 ოქტომბრის ბლოკი,
muslim_1919,,party,historic,მუსლიმთა ეროვნული საბჭო,parl_1919
national_democrats_1919,,party,historic,საქართველოს ეროვნულ-დემოკრატიული პარტია,parl_1919
natparty_1919,,party,historic,საქართველოს ეროვნული პარტია,parl_1919
no,,option,,არა,
other,,other,,სხვა პარტიები,
other_1992,,other,historic,სხვა (1992),
peace_1992,,bloc,historic,მშვიდობის ბლოკი,
raddem_1919,,party,historic,საქართველოს რადიკალ-დემოკრატთა პარტია,parl_1919
rustaveli_1919,,party,historic,შოთა რუსთაველის ჯგუფი,parl_1919
sdwpr_1919,,party,historic,რუსეთის სოციალ-დემოკრატთა მუშათა პარტია,parl_1919
smd_only_42,,independent,,დამოუკიდებელი კანდიდატი,parl_2016
smd_only_43,,independent,,დამოუკიდებელი კანდიდატი,parl_2016
smd_only_44,,independent,,დამოუკიდებელი კანდიდატი,parl_2016
social_democrats_1919,,party,historic,საქართველოს სოციალ-დემოკრატიული მუშათა პარტია,parl_1919
sr_1919,,party,historic,საქართველოს სოციალისტ-რევოლუციონერთა პარტია,parl_1919
