election_id,election_year,party_id,has_election_results,notes
local_2010,2010,veterans_patriots_2010,yes,registered in election YAML but no candidate row found
local_2017,2017,zugdidi_2018_2,yes,registered in election YAML but no candidate row found
local_2017,2017,zugdidi_2018_32,yes,registered in election YAML but no candidate row found
local_2017,2017,zugdidi_2018_41,yes,registered in election YAML but no candidate row found
parl_1919,1919,abkh_1919,yes,registered in election YAML but no candidate row found
parl_2012,2012,parl2012_2015_11_41,yes,registered in election YAML but no candidate row found
parl_2012,2012,parl2012_2015_11_42,yes,registered in election YAML but no candidate row found
parl_2012,2012,parl2012_2015_11_43,yes,registered in election YAML but no candidate row found
parl_2012,2012,parl2012_2015_11_44,yes,registered in election YAML but no candidate row found
parl_2012,2012,parl2012_2015_11_8,yes,registered in election YAML but no candidate row found
parl_2012,2012,parl2012_2015_65_41,yes,registered in election YAML but no candidate row found
parl_2012,2012,parl2012_2015_65_8,yes,registered in election YAML but no candidate row found
parl_2012,2012,parl2012_2015_gd,yes,registered in election YAML but no candidate row found
parl_2012,2012,parl2012_2015_initiative_group,yes,registered in election YAML but no candidate row found
parl_2012,2012,parl2012_2015_patriots,yes,registered in election YAML but no candidate row found
parl_2016,2016,major54_2018_17,yes,registered in election YAML but no candidate row found
parl_2016,2016,major54_2018_2,yes,registered in election YAML but no candidate row found
parl_2016,2016,major54_2018_21,yes,registered in election YAML but no candidate row found
parl_2016,2016,major54_2018_23,yes,registered in election YAML but no candidate row found
parl_2016,2016,major54_2018_41,yes,registered in election YAML but no candidate row found
parl_2016,2016,major54_2018_42,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_13,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_17,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_21,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_23,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_24,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_27,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_28,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_31,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_33,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_35,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_38,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_4,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_41,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_42,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_43,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_44,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_45,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_46,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_47,yes,registered in election YAML but no candidate row found
parl_2016,2016,mtatsminda_2019_9,yes,registered in election YAML but no candidate row found
parl_2016,2016,smd_only_42,yes,registered in election YAML but no candidate row found
parl_2016,2016,smd_only_43,yes,registered in election YAML but no candidate row found
parl_2016,2016,smd_only_44,yes,registered in election YAML but no candidate row found
parl_2020,2020,independent,yes,registered in election YAML but no candidate row found
parl_2024,2024,free_georgia,yes,registered in election YAML but no candidate row found
parl_2024,2024,girchi,yes,registered in election YAML but no candidate row found
