party_label_ka,party_id,appearances,election_ids,label_resolves_to_n_ids
„ ახალი ქრისტიან-დემოკრატები”,new_christian_democrats,5,local_2017,1
„ თავისუფლება-ზვიად გამსახურდიას გზა”,freedom_gamsakhurdia,17,local_2017,1
„ თამაზ მეჭიაური ერთიანი საქართველოსთვის”,mechiauri,1,local_2017,1
„ მემარცხენე ალიანსი”,left_alliance,1,local_2017,1
„ მშრომელთა სოციალისტური პარტია”,workers_socialist,1,local_2017,1
„ პროგრესულ-დემოკრატიული,progressive_democratic_2017,1,local_2017,1
„ პროგრესულ-დემოკრატიული მოძრაობა”,progressive_democratic_2017,38,local_2017,1
„ რესპუბლიკური პარტია”,republicans_2016,2,local_2017,1
„ საქართველო”,patriots,4,local_2017,1
„ საქართველოს ერთობისა და განვითარების პარტია”,unity_development,1,local_2017,1
„ სოციალისტური საქართველო - კომუნისტები”,georgia_party,3,local_2017,1
„ ტრადიციონალისტები”,traditionalists,10,local_2017,1
„ ქართული ოცნება-დემოკრატიული საქართველო”,gd,63,local_2017,1
„ შენების მოძრაობა”,construction_movement_2017,10,local_2017,1
„ალეკო ელისაშვილი-მოქალაქეები“,citizens,219,adj_2020;local_2021;parl_2020,1
„ალეკო ელისაშვილი-მოქალაქეები”,citizens,271,local_2021,1
"“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)",alliance_georgia_2010,690,local_2010,1
„ანა დოლიძე - ხალხისთვის“,for_people,53,local_2021,1
„ანა დოლიძე - ხალხისთვის”,for_people,169,local_2021,1
„ანა რეხვიაშვილი - სახალხო მოძრაობა ქრისტიან-დემოკრატები“,peoples_movement_2020,124,parl_2020,1
"„არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)”",nonparliamentary_opposition_2014,1,local_2014,1
„არჩევანი სამშობლოსათვის“,choice_homeland_2020,121,parl_2020,1
„ახალი მემარჯვენეები”,new_rights_2017,17,local_2017,1
„ახალი ქრისტიან-დემოკრატები”,new_christian_democrats,194,local_2017;parl_2020,1
„ახალი ძალა“,new_force,10,parl_2020,1
„ბაგრატიონი - სახე+“,face_plus,22,adj_2020,1
"„ბაქრაძე, უგულავა, ბოკერია - ევროპული საქართველო - მოძრაობა თავისუფლებისთვის“",european_georgia,21,parl_2020,1
"„ბაქრაძე, უგულავა, ბოკერია - ევროპული საქართველო-მოძრაობა თავისუფლებისთვის“",european_georgia,26,adj_2020,1
„ბეჟან გუნავა - ქართული არჩევანი“,georgian_choice,166,adj_2020;parl_2020,1
"""ბიძინა ივანიშვილი - ქართული ოცნება""",gd,200,parl_2012,1
„გაერთიანებული დემოკრატიული მოძრაობა”,united_democratic_2017,745,local_2017,1
"“გაერთიანებული ოპოზიცია (ეროვნული საბჭო, მემარჯვენეები)”",united_opposition_2008,73,parl_2008,1
„გაჩეჩილაძე - მწვანეთა პარტია“,greens,12,parl_2020,2
„გაჩეჩილაძე - მწვანეთა პარტია“,greens_geo,54,local_2021,2
„გაჩეჩილაძე - მწვანეთა პარტია”,greens_geo,8,local_2021,1
„გახარია საქართველოსთვის“,gakharia,1101,adj_2024;local_2025,1
„გახარია საქართველოსთვის”,gakharia,12,parl_2024,1
"„გიორგი გაჩეჩილაძე -
მწვანეთა პარტია”",greens_2014,1,local_2014,1
„გიორგი ვაშაძე - სტრატეგია აღმაშენებელი“,agmashenebeli,30,adj_2020,1
“გიორგი თარგამაძე – ქრისტიან-დემოკრატები”,christian_democrats_2008,196,parl_2008,1
„გიორგი თარგამაძე ქრისტიან დემოკრატები”,christian_democrats_2008,6,adj_2008,1
"“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”",christian_democrats_2010,702,local_2010,1
„გიორგი ლაღიძე - მომავალი საქართველო”,georgia_party,2,local_2021,1
„გიორგი ლაღიძე-მომავალი საქართველო“,georgia_party,1,local_2021,1
„გირჩი“,girchi,105,adj_2020;adj_2024;local_2021;parl_2020,1
„გირჩი”,girchi,1239,local_2021,1
„გირჩი“ ზურაბ,girchi,1,parl_2020,1
„გოგი წულაია - ახალი ქრისტიან-დემოკრატები“,new_christian_democrats,50,local_2021,1
„გოგი წულაია - ახალი ქრისტიან-დემოკრატები”,new_christian_democrats,97,local_2021,1
"„დავით თარხან-მოურავი- საქართველოს პატრიოტთა ალიანსი""",patriots,1,local_2014,1
"„დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა",patriots,668,local_2017,1
"„დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი“",patriots,79,adj_2020;local_2021,1
