lineage,members,years_covered,year_gaps,member_ids
burjanadze,3,2014;2016;2020,2017;2018,burjanadze_democratic;burjanadze_united_opposition_2014;democratic_movement
european_democrats,2,2008;2021;2024,2010;2012;2013;2014;2016;2017;2018;2020,adj2008_chven_tviton;european_democrats
free_georgia,2,2012;2017;2020;2021;2024;2025,2013;2014;2016;2018,free_georgia;free_georgia_movement
georgian_group,3,2008;2012;2016;2020;2021,2010;2013;2014;2017;2018,adj2008_kartuli_dasi;georgian_group;georgian_troupe
greens,3,2014;2020;2021;2025,2016;2017;2018;2024,greens;greens_2014;greens_geo
mechiauri,2,2016;2017;2020;2021,2018,mechiauri;mechiauri_united
motherland,1,2017;2020;2021,2018,motherland_2020
national_democratic_party,4,2010;2012;2014;2020,2013;2016;2017;2018,national_democratic_2010;national_democratic_2014;ndp_2012;ndp_2020
republicans,2,2008;2016;2017,2010;2012;2013;2014,republicans_2008;republicans_2016
third_force,3,2017;2020;2021,2018,agmashenebeli;third_force;vashadze_2017
unm,2,2008;2010;2012;2014;2016;2017;2020;2021;2024,2013;2018,unity;unm
