election_id,sub_id,current_synthetic_id,candidate_name_ka,candidate_name_en,color_hint,ballot_number,party_label_ka_FILL,elected_FILL,district_name_ka_FILL
local_2017,local_2017_zugdidi_2018_sakrebulo_smd,zugdidi_2018_2,გოდერძი კუკავა,Goderdzi Kukava,#C62828,2,,,
local_2017,local_2017_zugdidi_2018_sakrebulo_smd,zugdidi_2018_32,ბაჩუკი ნარუშვილი,Bachuki Narushvili,#78909C,32,,,
local_2017,local_2017_zugdidi_2018_sakrebulo_smd,zugdidi_2018_41,თენგიზ ალმასია,Tengiz Almasia,#1565C0,41,,,
parl_2012,parl_2012_2015_byelection,parl2012_2015_11_8,საქართველოს პატრიოტთა ალიანსი,Alliance of Patriots of Georgia,#880E4F,8,,,
parl_2012,parl_2012_2015_byelection,parl2012_2015_65_8,საქართველოს პატრიოტთა ალიანსი,Alliance of Patriots of Georgia,#880E4F,8,,,
parl_2012,parl_2012_2015_byelection,parl2012_2015_11_41,ქართული ოცნება,Georgian Dream,#1565C0,41,,,
parl_2012,parl_2012_2015_byelection,parl2012_2015_65_41,ქართული ოცნება,Georgian Dream,#1565C0,41,,,
parl_2012,parl_2012_2015_byelection,parl2012_2015_11_42,საინიციატივო ჯგუფი,Initiative Group,#78909C,42,,,
parl_2012,parl_2012_2015_byelection,parl2012_2015_11_43,საინიციატივო ჯგუფი,Initiative Group,#43A047,43,,,
parl_2012,parl_2012_2015_byelection,parl2012_2015_11_44,საინიციატივო ჯგუფი,Initiative Group,#5C6BC0,44,,,
parl_2012,parl_2012_2015_byelection,parl2012_2015_gd,ქართული ოცნება,Georgian Dream,#1565C0,gd,,,
parl_2012,parl_2012_2015_byelection,parl2012_2015_initiative_group,საინიციატივო ჯგუფი,Initiative Group,#78909C,group,,,
parl_2012,parl_2012_2015_byelection,parl2012_2015_patriots,საქართველოს პატრიოტთა ალიანსი,Alliance of Patriots of Georgia,#880E4F,patriots,,,
parl_2016,parl_2016_major54_2018,major54_2018_2,გიორგი უგულავა,Giorgi Ugulava,#C62828,2,,,
parl_2016,parl_2016_major54_2018,major54_2018_17,გიორგი ლილუაშვილი,Giorgi Liluashvili,#8D6E63,17,,,
parl_2016,parl_2016_major54_2018,major54_2018_21,ზურაბ ქართველიშვილი,Zurab Kartvelishvili,#78909C,21,,,
parl_2016,parl_2016_major54_2018,major54_2018_23,მამუკა ტუსკაძე,Mamuka Tuskadze,#5C6BC0,23,,,
parl_2016,parl_2016_major54_2018,major54_2018_41,გივი ჭიჭინაძე,Givi Chichinadze,#1565C0,41,,,
parl_2016,parl_2016_major54_2018,major54_2018_42,ვასილ კოპალიანი,Vasil Kopaliani,#43A047,42,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_4,ნიტა სიხარულიძე,Nita Sikharulidze,#7E57C2,4,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_9,გიორგი ანდრიაძე,Giorgi Andriadze,#26A69A,9,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_13,შალვა შავგულიძე,Shalva Shavgulidze,#D55E00,13,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_17,გიორგი ლილუაშვილი,Giorgi Liluashvili,#8D6E63,17,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_21,გიორგი შალიკაშვილი,Giorgi Shalikashvili,#78909C,21,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_23,თებეა თენგიანი,Tebea Tengiani,#EC407A,23,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_24,მამუკა ტუსკაძე,Mamuka Tuskadze,#5C6BC0,24,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_27,ვალისა ღვინჯილია,Valisa Ghvinjilia,#9CCC65,27,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_28,მიხეილ სალუაშვილი,Mikheil Saluashvili,#FFB74D,28,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_31,ირმა რაზმაძე,Irma Razmadze,#4DB6AC,31,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_33,ჯემალ ნადარეიშვილი,Jemal Nadareishvili,#9575CD,33,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_35,გერმანე საბო,Germane Sabo,#00AEEF,35,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_38,ნოდარ ინანეიშვილი,Nodar Inaneishvili,#A1887F,38,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_41,ვლადიმერ კახაძე,Vladimer Kakhadze,#1565C0,41,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_42,ლევან იოსელიანი,Levan Ioseliani,#43A047,42,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_43,კობა დავითაშვილი,Koba Davitashvili,#F06292,43,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_44,სოფიო ხორგუანი,Sopio Khorguani,#7986CB,44,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_45,გრიგოლ გეგელია,Grigol Gegelia,#00897B,45,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_46,იოსებ კობერიძე,Ioseb Koberidze,#BDBDBD,46,,,
parl_2016,parl_2016_mtatsminda_2019,mtatsminda_2019_47,თამარ ალფაიძე,Tamar Alpaidze,#FDD835,47,,,
