election_id,sub_id,kind,slot,status,file
adj_2008,,main,pr,present,src\data\candidates\adj_2008_pr.csv
adj_2008,,main,smd,present,src\data\candidates\adj_2008_smd.csv
adj_2008,,main,elected,present,src\data\candidates\adj_2008_elected.csv
adj_2016,,main,pr,present,src\data\candidates\adj_2016_pr.csv
adj_2016,,main,smd,present,src\data\candidates\adj_2016_smd.csv
adj_2016,,main,elected,present,src\data\candidates\adj_2016_elected.csv
adj_2016,adj_2016_smd_runoff,runoff,smd,MISSING,src\data\candidates\adj_2016_smd_runoff_smd.csv
adj_2016,adj_2016_smd_runoff,runoff,elected,MISSING,src\data\candidates\adj_2016_smd_runoff_elected.csv
adj_2020,,main,pr,present,src\data\candidates\adj_2020_pr.csv
adj_2020,,main,smd,present,src\data\candidates\adj_2020_smd.csv
adj_2020,,main,elected,present,src\data\candidates\adj_2020_elected.csv
adj_2020,adj_2020_smd_runoff,runoff,smd,MISSING,src\data\candidates\adj_2020_smd_runoff_smd.csv
adj_2020,adj_2020_smd_runoff,runoff,elected,MISSING,src\data\candidates\adj_2020_smd_runoff_elected.csv
adj_2024,,main,pr,present,src\data\candidates\adj_2024_pr.csv
adj_2024,,main,elected,present,src\data\candidates\adj_2024_elected.csv
local_2010,,main,pr,MISSING,src\data\candidates\local_2010_pr.csv
local_2010,,main,council_smd,present,src\data\candidates\local_2010_council_smd.csv
local_2010,,main,mayor,present,src\data\candidates\local_2010_mayor.csv
local_2010,,main,gamgebeli,MISSING,src\data\candidates\local_2010_gamgebeli.csv
local_2010,,main,elected,MISSING,src\data\candidates\local_2010_elected.csv
local_2014,,main,pr,present,src\data\candidates\local_2014_pr.csv
local_2014,,main,council_smd,present,src\data\candidates\local_2014_council_smd.csv
local_2014,,main,mayor,present,src\data\candidates\local_2014_mayor.csv
local_2014,,main,gamgebeli,present,src\data\candidates\local_2014_gamgebeli.csv
local_2014,,main,elected,present,src\data\candidates\local_2014_elected.csv
local_2014,local_2014_r2,runoff,mayor,MISSING,src\data\candidates\local_2014_r2_mayor.csv
local_2014,local_2014_r2,runoff,council_smd,MISSING,src\data\candidates\local_2014_r2_council_smd.csv
local_2014,local_2014_r2,runoff,elected,MISSING,src\data\candidates\local_2014_r2_elected.csv
