"level","n_files","examples","signature"
"candidates",45,"adj_2008_elected.csv; adj_2008_pr.csv","election_id,sub_id,vote_type,party_id,party_label_ka,party_code,district_id,district_name_ka,list_order,ballot_number,first_name,last_name,name_ka,partisanship,elected,source"
"candidates-legacy",5,"pres_2008_presidential.csv; pres_2013_presidential.csv","election_id,sub_id,vote_type,party_id,party_label_ka,party_code,district_id,district_name_ka,list_order,ballot_number,first_name,last_name,name_ka,partisanship,elected,source"
"candidates-legacy",2,"parl2008_annulled_precincts.csv; parl2012_annulled_precincts.csv","order_id,electoral_district_id,district_name_ka,precinct_number,precinct_id,number_of_voters,reason"
"candidates-legacy",1,"local2014_party_lists.csv","district_id,district_type,party_id,party_name,order_id,first_name,last_name,name_ka,smd_code,smd_name"
"candidates-legacy",1,"local2014_smd_candidates.csv","election_type,district_raw,district_id,major_id,party_num,party_id,name_ka,party_name,smd_code"
"candidates-legacy",1,"local2014_mayor_gamgebeli_candidates.csv","election_type,district_raw,district_id,party_num,party_id,name_ka,party_name"
"candidates-legacy",1,"local2014_elected.csv","election_type,round,local_governing_unit,selfgov_id,party_name,first_name,last_name,candidate_number,maj_id,smd_name,source_pdf,page_number,party_num,party_id,name_ka"
"district",22,"adj2016_smd.csv; adj2016_smd_runoff.csv","district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"district",17,"adj2016_pr.csv; adj2020_pr.csv","district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"district",14,"local2014_2014_oct_byelection_council_smd.csv; local2014_2014_oct_byelection_smd.csv","district_id,party_id,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"district",9,"local2017_2019_byelections_council_smd.csv; local2017_2019_oct_byelections_council_smd.csv","district_id,party_id,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"district",7,"local2017_2019_byelections_smd.csv; local2017_2019_oct_byelections_smd.csv","district_id,party_id,party_num,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"district",6,"local2014_2016_gardabani_byelection_smd.csv; local2014_2016_oct_mayor_byelection_r2_smd.csv","district_id,party_id,party_num,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"district",3,"adj2008_smd.csv; parl2008_smd.csv","district_id,district_name_ka,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"district",3,"adj2008_pr.csv; parl2008_pr.csv","district_id,district_name_ka,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"district",2,"local2021_r2.csv; parl2020_by_tbilisi.csv","district_id,party_id,candidate_name,votes,vote_share,seats_pr,seats_smd,threshold_status"
"district",2,"local2017_r2_smd.csv; local2017_r2_smd_districts.csv","district_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"district",2,"local2014_pr.csv; local2014_pr_selfgov.csv","district_id,party_id,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"district",1,"pres2008.csv","district_id,district_name_en,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"district",1,"pres2013.csv","district_id,district_name_ka,district_name_en,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"district",1,"parl2012_2015_byelection_smd.csv","district_id,district_name_ka,party_id,name_ka,party_label,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"district",1,"parl1919_pr.csv","district_id,party_id,votes,vote_share,registered,voted,invalid_ballots"
"district",1,"local2021_council_pr.csv","district_id,party_id,votes,vote_share,seats_pr,seats_smd,threshold_status"
"precinct",17,"adj2020_pr_precincts.csv; adj2024_pr_precincts.csv","precinct_id,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",16,"local2014_2014_oct_byelection_council_smd_precincts.csv; local2014_2014_oct_byelection_smd_precincts.csv","precinct_id,precinct_key,district_id,raw_district_id,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",9,"local2014_r2_smd_precincts.csv; local2014_smd_precincts.csv","precinct_id,selfgov_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",7,"adj2020_smd_precincts.csv; adj2020_smd_runoff_precincts.csv","precinct_id,district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",4,"parl2016_major54_2018_smd_precincts.csv; parl2016_mtatsminda_2019_smd_precincts.csv","precinct_id,precinct_key,smd,dd,pp,district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",4,"local2010_smd_precincts.csv; local2021_r2_smd_precincts.csv","precinct_id,selfgov_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",3,"local2014_2016_gardabani_byelection_smd_precincts.csv; local2014_2016_oct_mayor_byelection_r2_smd_precincts.csv","precinct_id,precinct_key,selfgov_id,raw_district_id,precinct_number,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",2,"parl2008_smd_precincts.csv; parl2012_smd_precincts.csv","precinct_id,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",2,"parl2008_pr_precincts.csv; parl2012_pr_precincts.csv","precinct_id,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",2,"pres2018_r1_precincts.csv; pres2018_r2_precincts.csv","precinct_id,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",2,"adj2016_smd_precincts.csv; adj2016_smd_runoff_precincts.csv","precinct_id,precinct_key,district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",1,"local2021_council_pr_precincts.csv","district_id,party_id,votes,vote_share,seats_pr,seats_smd,threshold_status"
"precinct",1,"local2014_r2_council_smd_precincts.csv","district_id,precinct_id,party_id,name_ka,votes,registered,voted,voted_noon,voted_5pm,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"precinct",1,"pres2008_precincts.csv","precinct_id,district_id,district_name_en,precinct_number,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",1,"pres2013_precincts.csv","precinct_id,district_id,district_name_ka,district_name_en,precinct_number,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",1,"parl2012_2015_byelection_smd_precincts.csv","precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,party_label,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",1,"adj2008_smd_precincts.csv","precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",1,"adj2008_pr_precincts.csv","precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",1,"adj2016_pr_precincts.csv","precinct_id,precinct_key,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"precinct",1,"parl2016_pr_repeated_precincts.csv","precinct_id,precinct_key,smd,dd,pp,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"seats",5,"local2010_seats.csv; local2014_seats.csv","selfgov_id,party_id,seats_pr,seats_smd,seats_mayor"
