election_id,sub_id,vote_type,party_id,party_label_ka,party_code,district_id,district_name_ka,list_order,ballot_number,first_name,last_name,name_ka,partisanship,elected,source
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,41,,აბაშა,,41,მამუკა,კვიტაშვილი,მამუკა კვიტაშვილი,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,unm,ერთიანი ნაციონალური მოძრაობა,5,,აბაშა,,,თამაზი,ზაქაიძე,თამაზი ზაქაიძე,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,unm,ერთიანი ნაციონალური მოძრაობა,5,,აბაშა,,,დავით,თოფურია,დავით თოფურია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,unm,ერთიანი ნაციონალური მოძრაობა,5,,აბაშა,,,გელა,ლაბარტყავა,გელა ლაბარტყავა,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,unm,ერთიანი ნაციონალური მოძრაობა,5,,აბაშა,,,ეკატერინე,მაკალათია,ეკატერინე მაკალათია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,unm,ერთიანი ნაციონალური მოძრაობა,5,,აბაშა,,,მალხაზი,ჯოლია,მალხაზი ჯოლია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,3,,აბაშა,,,გელა,კაჭარავა,გელა კაჭარავა,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,georgias_way_2014,სალომე ზურაბიშვილი - საქართველოს გზა,18,,აბაშა,,,პროკოფი,ნიკურაძე,პროკოფი ნიკურაძე,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,gd,ქართული ოცნება,41,,აბაშა,,,გიორგი,გვილავა,გიორგი გვილავა,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,gd,ქართული ოცნება,41,,აბაშა,,,ელვარდი,კაჭარავა,ელვარდი კაჭარავა,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,gd,ქართული ოცნება,41,,აბაშა,,,გია,კუცია,გია კუცია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,gd,ქართული ოცნება,41,,აბაშა,,,კუკური,ლასარეიშვილი,კუკური ლასარეიშვილი,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,gd,ქართული ოცნება,41,,აბაშა,,,პაატა,ქურდოვანიძე,პაატა ქურდოვანიძე,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,gd,ქართული ოცნება,41,,აბაშა,,,კონსტანტინე,ხარძიანი,კონსტანტინე ხარძიანი,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,gd,ქართული ოცნება,41,,აბაშა,,,ტატიანა,ხოშტარია,ტატიანა ხოშტარია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,gd,ქართული ოცნება,41,,აბაშა,,,შალვა,ჯღარკავა,შალვა ჯღარკავა,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,unm,ერთიანი ნაციონალური მოძრაობა,5,6301,აბაშა,,,დავითი,კაჭარავა,დავითი კაჭარავა,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,unm,ერთიანი ნაციონალური მოძრაობა,5,6302,აბაშა,,,ირაკლი,გაბუნია,ირაკლი გაბუნია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,unm,ერთიანი ნაციონალური მოძრაობა,5,6303,აბაშა,,,გენო,მიმინოშვილი,გენო მიმინოშვილი,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,independent,დამოუკიდებელი,42,6304,აბაშა,,,ბაქარი,შელია,ბაქარი შელია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,gd,ქართული ოცნება,41,6305,აბაშა,,,ბენია,პიტავა,ბენია პიტავა,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,independent,დამოუკიდებელი,42,6306,აბაშა,,,ბაჩუკი,ქვილითაია,ბაჩუკი ქვილითაია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,gd,ქართული ოცნება,41,6307,აბაშა,,,გელა,ხოშტარია,გელა ხოშტარია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,gd,ქართული ოცნება,41,6308,აბაშა,,,ლეონტი,ნადარეიშვილი,ლეონტი ნადარეიშვილი,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,gd,ქართული ოცნება,41,6309,აბაშა,,,გელა,ვერულაშვილი,გელა ვერულაშვილი,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,gd,ქართული ოცნება,41,6310,აბაშა,,,მამუკა,ვეკუა,მამუკა ვეკუა,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,unm,ერთიანი ნაციონალური მოძრაობა,5,6311,აბაშა,,,მერაბი,მელია,მერაბი მელია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,gd,ქართული ოცნება,41,6312,აბაშა,,,რევაზი,ჩაჩავა,რევაზი ჩაჩავა,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,independent,დამოუკიდებელი,42,6313,აბაშა,,,გია,მიგინეიშვილი,გია მიგინეიშვილი,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,unm,ერთიანი ნაციონალური მოძრაობა,5,6314,აბაშა,,,კახა,ცანავა,კახა ცანავა,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,independent,დამოუკიდებელი,42,6315,აბაშა,,,ელვარდი,ნოდია,ელვარდი ნოდია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,council_smd,unm,ერთიანი ნაციონალური მოძრაობა,5,6316,აბაშა,,,კოხტა,მელია,კოხტა მელია,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,41,,ადიგენი,,41,ზაქარია,ენდელაძე,ზაქარია ენდელაძე,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,unm,ერთიანი ნაციონალური მოძრაობა,5,,ადიგენი,,,გივი,ენდელაძე,გივი ენდელაძე,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,unm,ერთიანი ნაციონალური მოძრაობა,5,,ადიგენი,,,დავით,ოგანეზიანი,დავით ოგანეზიანი,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,unm,ერთიანი ნაციონალური მოძრაობა,5,,ადიგენი,,,რატი,ტატალაშვილი,რატი ტატალაშვილი,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,unm,ერთიანი ნაციონალური მოძრაობა,5,,ადიგენი,,,თემურ,ფეიქრიშვილი,თემურ ფეიქრიშვილი,,TRUE,SakrebuloMembers2014.pdf
local_2014,__main__,pr,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,3,,ადიგენი,,,მალხაზ,ბოჩიკაშვილი,მალხაზ ბოჩიკაშვილი,,TRUE,SakrebuloMembers2014.pdf
