election_id,sub_id,vote_type,party_id,party_label_ka,party_code,district_id,district_name_ka,list_order,ballot_number,first_name,last_name,name_ka,partisanship,elected,source
local_2014,__main__,gamgebeli,nonparliamentary_opposition_2014,"არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)",,11,საგარეჯო,,1,ივანე,დემეტრაშვილი,ივანე დემეტრაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,veterans_patriots_2014,საქართველოს ძალოვან ვეტერანთა და პატრიოტთა პოლიტიკური მოძრაობა,,11,საგარეჯო,,2,დავითი,მაისაშვილი,დავითი მაისაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,sakhalkho_party_2014,სახალხო პარტია,,11,საგარეჯო,,26,ალექსი,არაბული,ალექსი არაბული,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,11,საგარეჯო,,3,თენგიზ,სონიშვილი,თენგიზ სონიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,11,საგარეჯო,,41,გიორგი,გზირიშვილი,გიორგი გზირიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,11,საგარეჯო,,5,გარსევან,ბუხნიკაშვილი,გარსევან ბუხნიკაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,patriots,დავით თარხან-მოურავი - საქართველოს პატრიოტთა ალიანსი,,11,საგარეჯო,,8,სოსლან,გარსევანიშვილი,სოსლან გარსევანიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,georgias_way_2014,სალომე ზურაბიშვილი - საქართველოს გზა,,12,გურჯაანი,,18,ფარვიზი,ბაწელაშვილი,ფარვიზი ბაწელაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,12,გურჯაანი,,3,ვალერი,შოშიაშვილი,ვალერი შოშიაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,12,გურჯაანი,,41,გივი,გერგიძე,გივი გერგიძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,12,გურჯაანი,,5,გიორგი,პეტრუზაშვილი,გიორგი პეტრუზაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,nonparliamentary_opposition_2014,"არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)",,13,სიღნაღი,,1,გიორგი,მჭედლიშვილი,გიორგი მჭედლიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,13,სიღნაღი,,3,ირაკლი,სულიაშვილი,ირაკლი სულიაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,kostava_society,მერაბ კოსტავას საზოგადოება,,13,სიღნაღი,,30,ნოდარი,კუტიბაშვილი,ნოდარი კუტიბაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,13,სიღნაღი,,41,დავითი,ჯანიკაშვილი,დავითი ჯანიკაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,13,სიღნაღი,,5,ზაზა,ზედელაშვილი,ზაზა ზედელაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,nonparliamentary_opposition_2014,"არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)",,14,დედოფლისწყარო,,1,გელა,ბაგალიშვილი,გელა ბაგალიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,14,დედოფლისწყარო,,41,ნიკოლოზ,ჯანიაშვილი,ნიკოლოზ ჯანიაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,14,დედოფლისწყარო,,5,ემზარ,ჯანაშვილი,ემზარ ჯანაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,veterans_patriots_2014,საქართველოს ძალოვან ვეტერანთა და პატრიოტთა პოლიტიკური მოძრაობა,,15,ლაგოდეხი,,2,ნოდარი,მანიჟაშვილი,ნოდარი მანიჟაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,15,ლაგოდეხი,,3,ისაკო,ცქიფურიშვილი,ისაკო ცქიფურიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,15,ლაგოდეხი,,41,კარლო,ჯამბურია,კარლო ჯამბურია,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,15,ლაგოდეხი,,5,ნიკა,ნოზაძე,ნიკა ნოზაძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,16,ყვარელი,,3,ილია,ბურკიაშვილი,ილია ბურკიაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,16,ყვარელი,,41,ილია,მზექალაშვილი,ილია მზექალაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,16,ყვარელი,,5,ხატია,დეკანოიძე,ხატია დეკანოიძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,greens_2014,გიორგი გაჩეჩილაძე - მწვანეთა პარტია,,16,ყვარელი,,6,რევაზი,ჩოხადარი,რევაზი ჩოხადარი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,patriots,დავით თარხან-მოურავი - საქართველოს პატრიოტთა ალიანსი,,16,ყვარელი,,8,ალექსი,შიუკაშვილი,ალექსი შიუკაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,nonparliamentary_opposition_2014,"არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)",,17,თელავი,,1,მალხაზი,არუდაშვილი,მალხაზი არუდაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,17,თელავი,,3,ჯემალი,ბაღათრიშვილი,ჯემალი ბაღათრიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,17,თელავი,,41,ალექსანდრე,შათირიშვილი,ალექსანდრე შათირიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,17,თელავი,,5,გიორგი,ბოტკოველი,გიორგი ბოტკოველი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,nonparliamentary_opposition_2014,"არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)",,18,ახმეტა,,1,ნიკოლოზი,ბართიშვილი,ნიკოლოზი ბართიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,18,ახმეტა,,3,ზურაბი,ფილაშვილი,ზურაბი ფილაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,18,ახმეტა,,41,ბექა,ბაიდაური,ბექა ბაიდაური,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,18,ახმეტა,,5,შაქრო,ტერტერაშვილი,შაქრო ტერტერაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,19,თიანეთი,,3,ილია,არჩემაშვილი,ილია არჩემაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,19,თიანეთი,,41,ლელა,ქიტესაშვილი,ლელა ქიტესაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,19,თიანეთი,,5,ვაჟა,წოწკოლაური,ვაჟა წოწკოლაური,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,greens_2014,გიორგი გაჩეჩილაძე - მწვანეთა პარტია,,19,თიანეთი,,6,ალექსი,ქავთარაძე,ალექსი ქავთარაძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,patriots,დავით თარხან-მოურავი - საქართველოს პატრიოტთა ალიანსი,,19,თიანეთი,,8,ლერი,ნაკვეთაური,ლერი ნაკვეთაური,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,self_governance_people_2014,თვითმმართველობა ხალხს!,,19,თიანეთი,,9,მალხაზ,იარაჯული,მალხაზ იარაჯული,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,veterans_patriots_2014,საქართველოს ძალოვან ვეტერანთა და პატრიოტთა პოლიტიკური მოძრაობა,,21,გარდაბანი,,2,თელმანი,გასანოვი,თელმანი გასანოვი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,21,გარდაბანი,,3,იოსები,ჯაფარიძე,იოსები ჯაფარიძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,21,გარდაბანი,,41,გარსევან,ნიორაძე,გარსევან ნიორაძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,21,გარდაბანი,,5,ბესიკი,კახაბრიშვილი,ბესიკი კახაბრიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,nonparliamentary_opposition_2014,"არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)",,22,მარნეული,,1,შამილ,ახუნდოვი,შამილ ახუნდოვი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,future_georgia_2014,მომავალი საქართველო,,22,მარნეული,,13,ნელი,კილინკაროვა,ნელი კილინკაროვა,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,veterans_patriots_2014,საქართველოს ძალოვან ვეტერანთა და პატრიოტთა პოლიტიკური მოძრაობა,,22,მარნეული,,2,ზვიადი,შუბითიძე,ზვიადი შუბითიძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,22,მარნეული,,3,რაშიდ,მამედოვი,რაშიდ მამედოვი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,22,მარნეული,,41,მერაბ,თოფჩიშვილი,მერაბ თოფჩიშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,22,მარნეული,,5,აკმამედ,იმამკულიევი,აკმამედ იმამკულიევი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,23,ბოლნისი,,3,მალხაზი,ერაძე,მალხაზი ერაძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,23,ბოლნისი,,41,გოგი,მეშველიანი,გოგი მეშველიანი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,23,ბოლნისი,,5,ოლეგ,მაღრაძე,ოლეგ მაღრაძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,burjanadze_united_opposition_2014,ნინო ბურჯანაძე - ერთიანი ოპოზიცია,,24,დმანისი,,3,ზურაბი,აკოფაშვილი,ზურაბი აკოფაშვილი,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,gd,ქართული ოცნება,,24,დმანისი,,41,გოგი,ბარბაქაძე,გოგი ბარბაქაძე,,,adg_2014_candidates_unified_corrected.xlsx
local_2014,__main__,gamgebeli,unm,ერთიანი ნაციონალური მოძრაობა,,24,დმანისი,,5,ბაკური,მგელაძე,ბაკური მგელაძე,,,adg_2014_candidates_unified_corrected.xlsx
