election_id,sub_id,vote_type,party_id,party_label_ka,party_code,district_id,district_name_ka,list_order,ballot_number,first_name,last_name,name_ka,partisanship,elected,source
local_2021,__main__,mayor,gd,ქართული ოცნება - დემოკრატიული საქართველო,,11,,,,ავთანდილი,გულიკაშვილი,ავთანდილი გულიკაშვილი,,,local_2021.yml
local_2021,__main__,mayor,lelo,ლელო,,11,,,,ეკატერინე,ქვლივიძე,ეკატერინე ქვლივიძე,,,local_2021.yml
local_2021,__main__,mayor,unm,ერთიანი ნაციონალური მოძრაობა,,11,,,,დავითი,ჯავახიშვილი,დავითი ჯავახიშვილი,,,local_2021.yml
local_2021,__main__,mayor,gd,ქართული ოცნება - დემოკრატიული საქართველო,,12,,,,ზურაბ,უტიაშვილი,ზურაბ უტიაშვილი,,,local_2021.yml
local_2021,__main__,mayor,unm,ერთიანი ნაციონალური მოძრაობა,,12,,,,სერგი,კაკალაშვილი,სერგი კაკალაშვილი,,,local_2021.yml
local_2021,__main__,mayor,free_georgia,"თავისუფალი საქართველო (ზაზა ხატიაშვილი, კახა კუკავა,გრიგოლ ჯოჯუა)",,13,,,,გია,ხუხიაშვილი,გია ხუხიაშვილი,,,local_2021.yml
local_2021,__main__,mayor,gd,ქართული ოცნება - დემოკრატიული საქართველო,,13,,,,მალხაზი,ბეგიაშვილი,მალხაზი ბეგიაშვილი,,,local_2021.yml
local_2021,__main__,mayor,unm,ერთიანი ნაციონალური მოძრაობა,,13,,,,ზაზა,პაპუაშვილი,ზაზა პაპუაშვილი,,,local_2021.yml
local_2021,__main__,mayor,gd,ქართული ოცნება - დემოკრატიული საქართველო,,14,,,,ნიკოლოზ,ჯანიაშვილი,ნიკოლოზ ჯანიაშვილი,,,local_2021.yml
local_2021,__main__,mayor,unm,ერთიანი ნაციონალური მოძრაობა,,14,,,,თამაზ,კოჭლამაზაშვილი,თამაზ კოჭლამაზაშვილი,,,local_2021.yml
local_2021,__main__,mayor,gd,ქართული ოცნება - დემოკრატიული საქართველო,,15,,,,ჯონდო,მდივნიშვილი,ჯონდო მდივნიშვილი,,,local_2021.yml
local_2021,__main__,mayor,third_force,მესამე ძალა-სტრატეგია აღმაშენებელი,,15,,,,მალხაზ,ნოზაძე,მალხაზ ნოზაძე,,,local_2021.yml
local_2021,__main__,mayor,gakharia,გახარია საქართველოსთვის,,16,,,,გიორგი,გიგილოშვილი,გიორგი გიგილოშვილი,,,local_2021.yml
local_2021,__main__,mayor,gd,ქართული ოცნება - დემოკრატიული საქართველო,,16,,,,გივი,ზაუტაშვილი,გივი ზაუტაშვილი,,,local_2021.yml
local_2021,__main__,mayor,patriots,"დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",,16,,,,რევაზი,ჩოხადარი,რევაზი ჩოხადარი,,,local_2021.yml
local_2021,__main__,mayor,unm,ერთიანი ნაციონალური მოძრაობა,,16,,,,ალექსანდრე,მჭედლიშვილი,ალექსანდრე მჭედლიშვილი,,,local_2021.yml
local_2021,__main__,mayor,gakharia,გახარია საქართველოსთვის,,17,,,,გიგა,ორკოდაშვილი,გიგა ორკოდაშვილი,,,local_2021.yml
local_2021,__main__,mayor,gd,ქართული ოცნება - დემოკრატიული საქართველო,,17,,,,ლევან,ანდრიაშვილი,ლევან ანდრიაშვილი,,,local_2021.yml
local_2021,__main__,mayor,unm,ერთიანი ნაციონალური მოძრაობა,,17,,,,გიორგი,ბოტკოველი,გიორგი ბოტკოველი,,,local_2021.yml
local_2021,__main__,mayor,gd,ქართული ოცნება - დემოკრატიული საქართველო,,18,,,,ალექსი,ფიცხელაური,ალექსი ფიცხელაური,,,local_2021.yml
local_2021,__main__,mayor,unm,ერთიანი ნაციონალური მოძრაობა,,18,,,,ზურაბ,ოტიაშვილი,ზურაბ ოტიაშვილი,,,local_2021.yml
local_2021,__main__,mayor,gakharia,გახარია საქართველოსთვის,,19,,,,თამაზ,იარაჯული,თამაზ იარაჯული,,,local_2021.yml
local_2021,__main__,mayor,gd,ქართული ოცნება - დემოკრატიული საქართველო,,19,,,,ლევან,წიკლაური,ლევან წიკლაური,,,local_2021.yml
local_2021,__main__,mayor,mechiauri_united,თამაზ მეჭიაური ერთიანი საქართველოსთვის,,19,,,,თამაზ,მეჭიაური,თამაზ მეჭიაური,,,local_2021.yml
local_2021,__main__,mayor,unm,ერთიანი ნაციონალური მოძრაობა,,19,,,,ილია,არჩემაშვილი,ილია არჩემაშვილი,,,local_2021.yml
local_2021,__main__,mayor,european_democrats,ევროპელი დემოკრატები,,20,,,,ვაჟა,ბახტურიძე,ვაჟა ბახტურიძე,,,local_2021.yml
local_2021,__main__,mayor,gakharia,გახარია საქართველოსთვის,,20,,,,ბექა,ლილუაშვილი,ბექა ლილუაშვილი,,,local_2021.yml
local_2021,__main__,mayor,gd,ქართული ოცნება - დემოკრატიული საქართველო,,20,,,,ნინო,ლაცაბიძე,ნინო ლაცაბიძე,,,local_2021.yml
local_2021,__main__,mayor,patriots,"დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",,20,,,,თორნიკე,არევაძე,თორნიკე არევაძე,,,local_2021.yml
local_2021,__main__,mayor,unm,ერთიანი ნაციონალური მოძრაობა,,20,,,,დავით,კირკიტაძე,დავით კირკიტაძე,,,local_2021.yml
local_2021,__main__,mayor,gd,ქართული ოცნება - დემოკრატიული საქართველო,,21,,,,დავითი,კარგარეთელი,დავითი კარგარეთელი,,,local_2021.yml
local_2021,__main__,mayor,patriots,"დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",,21,,,,ალექსანდრე,ვამლეტი,ალექსანდრე ვამლეტი,,,local_2021.yml
local_2021,__main__,mayor,unm,ერთიანი ნაციონალური მოძრაობა,,21,,,,ბესიკი,კახაბრიშვილი,ბესიკი კახაბრიშვილი,,,local_2021.yml
local_2021,__main__,mayor,european_georgia,ევროპული საქართველო-მოძრაობა თავისუფლებისთვის,,22,,,,აკმამედ,იმამკულიევი,აკმამედ იმამკულიევი,,,local_2021.yml
