election_id,sub_id,vote_type,party_id,party_label_ka,party_code,district_id,district_name_ka,list_order,ballot_number,first_name,last_name,name_ka,partisanship,elected,source
local_2025,__main__,council_smd,mamuli_ena,"მამული, ენა, სარწმუნოება",,101,,,,გიორგი,ქადაგიშვილი,გიორგი ქადაგიშვილი,,,local_2025.yml
local_2025,__main__,council_smd,conservatives_geo,კონსერვატორები საქართველოსთვის,,101,,,,გიორგი,ქარდავა,გიორგი ქარდავა,,,local_2025.yml
local_2025,__main__,council_smd,strong_georgia,ძლიერი საქართველო,,101,,,,ლანა,გალდავა,ლანა გალდავა,,,local_2025.yml
local_2025,__main__,council_smd,georgia_party,საქართველო,,101,,,,ბესიკი,ადამია,ბესიკი ადამია,,,local_2025.yml
local_2025,__main__,council_smd,girchi,გირჩი,,101,,,,ნუგზარ,კაპანაძე,ნუგზარ კაპანაძე,,,local_2025.yml
local_2025,__main__,council_smd,gd,ქართული ოცნება,,101,,,,ზურაბ,აბაშიძე,ზურაბ აბაშიძე,,,local_2025.yml
local_2025,__main__,council_smd,mamuli_ena,"მამული, ენა, სარწმუნოება",,102,,,,გიორგი,ქუთათელაძე,გიორგი ქუთათელაძე,,,local_2025.yml
local_2025,__main__,council_smd,conservatives_geo,კონსერვატორები საქართველოსთვის,,102,,,,ირაკლი,მარტინენკო,ირაკლი მარტინენკო,,,local_2025.yml
local_2025,__main__,council_smd,free_georgia,თავისუფალი საქართველო,,102,,,,ირაკლი,მაჭავარიანი,ირაკლი მაჭავარიანი,,,local_2025.yml
local_2025,__main__,council_smd,strong_georgia,ძლიერი საქართველო,,102,,,,ვახტანგ,სურგულაძე,ვახტანგ სურგულაძე,,,local_2025.yml
local_2025,__main__,council_smd,georgia_party,საქართველო,,102,,,,მამუკა,მელიქიშვილი,მამუკა მელიქიშვილი,,,local_2025.yml
local_2025,__main__,council_smd,peoples_power,სახალხო ხელისუფლება,,102,,,,ირაკლი,კიკაჩეიშვილი,ირაკლი კიკაჩეიშვილი,,,local_2025.yml
local_2025,__main__,council_smd,girchi,გირჩი,,102,,,,დავით,ფანჯაკიძე,დავით ფანჯაკიძე,,,local_2025.yml
local_2025,__main__,council_smd,gd,ქართული ოცნება,,102,,,,ალექსანდრე,ასათიანი,ალექსანდრე ასათიანი,,,local_2025.yml
local_2025,__main__,council_smd,mamuli_ena,"მამული, ენა, სარწმუნოება",,103,,,,ვლადიმერ,გოროზია,ვლადიმერ გოროზია,,,local_2025.yml
local_2025,__main__,council_smd,conservatives_geo,კონსერვატორები საქართველოსთვის,,103,,,,ირაკლი,მორგოშია,ირაკლი მორგოშია,,,local_2025.yml
local_2025,__main__,council_smd,free_georgia,თავისუფალი საქართველო,,103,,,,თათია,ინაძე,თათია ინაძე,,,local_2025.yml
local_2025,__main__,council_smd,georgia_party,საქართველო,,103,,,,იოსებ,კობერიძე,იოსებ კობერიძე,,,local_2025.yml
local_2025,__main__,council_smd,peoples_power,სახალხო ხელისუფლება,,103,,,,ნინო,კუპრეიშვილი,ნინო კუპრეიშვილი,,,local_2025.yml
local_2025,__main__,council_smd,gakharia,გახარია საქართველოსთვის,,103,,,,ზაზა,თავაძე,ზაზა თავაძე,,,local_2025.yml
local_2025,__main__,council_smd,girchi,გირჩი,,103,,,,ბორის,სოლომონია,ბორის სოლომონია,,,local_2025.yml
local_2025,__main__,council_smd,gd,ქართული ოცნება,,103,,,,ბექა,გელენავა,ბექა გელენავა,,,local_2025.yml
local_2025,__main__,council_smd,conservatives_geo,კონსერვატორები საქართველოსთვის,,104,,,,დავით,გაფრინდაშვილი,დავით გაფრინდაშვილი,,,local_2025.yml
local_2025,__main__,council_smd,georgia_party,საქართველო,,104,,,,ლეილა,ბივის,ლეილა ბივის,,,local_2025.yml
local_2025,__main__,council_smd,peoples_power,სახალხო ხელისუფლება,,104,,,,მაია,გულაშვილი,მაია გულაშვილი,,,local_2025.yml
local_2025,__main__,council_smd,gakharia,გახარია საქართველოსთვის,,104,,,,როინი,ქოჩორაშვილი,როინი ქოჩორაშვილი,,,local_2025.yml
local_2025,__main__,council_smd,girchi,გირჩი,,104,,,,გიორგი,ჭაუჭიძე,გიორგი ჭაუჭიძე,,,local_2025.yml
local_2025,__main__,council_smd,gd,ქართული ოცნება,,104,,,,შალვა,პერანიძე,შალვა პერანიძე,,,local_2025.yml
local_2025,__main__,council_smd,mamuli_ena,"მამული, ენა, სარწმუნოება",,105,,,,ომარ,ცხვარაძე,ომარ ცხვარაძე,,,local_2025.yml
local_2025,__main__,council_smd,conservatives_geo,კონსერვატორები საქართველოსთვის,,105,,,,შოთა,მარტინენკო,შოთა მარტინენკო,,,local_2025.yml
local_2025,__main__,council_smd,strong_georgia,ძლიერი საქართველო,,105,,,,რამაზ,მანდარია,რამაზ მანდარია,,,local_2025.yml
local_2025,__main__,council_smd,georgia_party,საქართველო,,105,,,,დავით,დავითაია,დავით დავითაია,,,local_2025.yml
local_2025,__main__,council_smd,peoples_power,სახალხო ხელისუფლება,,105,,,,ოთარ,თვარაძე,ოთარ თვარაძე,,,local_2025.yml
