election_id,sub_id,vote_type,party_id,party_label_ka,party_code,district_id,district_name_ka,list_order,ballot_number,first_name,last_name,name_ka,partisanship,elected,source
parl_2012,__main__,smd,unm,,5,1,,,5,არჩილ,გეგენავა,არჩილ გეგენავა,,,
parl_2012,__main__,smd,workers_socialist,,36,1,,,36,ტიტიკო,ლეფსაია,ტიტიკო ლეფსაია,,,
parl_2012,__main__,smd,labour,,38,1,,,38,პაატა,ჩოხელი,პაატა ჩოხელი,,,
parl_2012,__main__,smd,gd,,41,1,,,41,ზაზა,პაპუაშვილი,ზაზა პაპუაშვილი,,,
parl_2012,__main__,smd,free_georgia,,1,2,,,1,კახა,კუკავა,კახა კუკავა,,,
parl_2012,__main__,smd,ndp_2012,,4,2,,,4,გენადი,კვაჭანტირაძე,გენადი კვაჭანტირაძე,,,
parl_2012,__main__,smd,unm,,5,2,,,5,გიორგი,კარბელაშვილი,გიორგი კარბელაშვილი,,,
parl_2012,__main__,smd,christian_democrats_2012,,10,2,,,10,ნინო,გურიელი,ნინო გურიელი,,,
parl_2012,__main__,smd,new_rights_2012,,24,2,,,24,დავით,გამყრელიძე,დავით გამყრელიძე,,,
parl_2012,__main__,smd,future_georgia,,35,2,,,35,დავით,თორდუა,დავით თორდუა,,,
parl_2012,__main__,smd,workers_socialist,,36,2,,,36,როინ,ლიპარტელიანი,როინ ლიპარტელიანი,,,
parl_2012,__main__,smd,labour,,38,2,,,38,ლეილა,გაფრინდაშვილი,ლეილა გაფრინდაშვილი,,,
parl_2012,__main__,smd,gd,,41,2,,,41,შალვა,შავგულიძე,შალვა შავგულიძე,,,
parl_2012,__main__,smd,free_georgia,,1,3,,,1,ნანა,დევდარიანი,ნანა დევდარიანი,,,
parl_2012,__main__,smd,ndp_2012,,4,3,,,4,გურამ,ჩახვაძე,გურამ ჩახვაძე,,,
parl_2012,__main__,smd,unm,,5,3,,,5,ანდრია,ურუშაძე,ანდრია ურუშაძე,,,
parl_2012,__main__,smd,christian_democrats_2012,,10,3,,,10,ნოდარ,სარჯველაძე,ნოდარ სარჯველაძე,,,
parl_2012,__main__,smd,georgian_group,,23,3,,,23,ჯონდო,ბაღათურია,ჯონდო ბაღათურია,,,
parl_2012,__main__,smd,new_rights_2012,,24,3,,,24,მამუკა,კაციტაძე,მამუკა კაციტაძე,,,
parl_2012,__main__,smd,kostava_society,,30,3,,,30,გიორგი,ლილუაშვილი,გიორგი ლილუაშვილი,,,
parl_2012,__main__,smd,workers_socialist,,36,3,,,36,ამირან,ლუაშვილი,ამირან ლუაშვილი,,,
parl_2012,__main__,smd,labour,,38,3,,,38,სიმონ,პეტრიაშვილი,სიმონ პეტრიაშვილი,,,
parl_2012,__main__,smd,gd,,41,3,,,41,დავით,უსუფაშვილი,დავით უსუფაშვილი,,,
parl_2012,__main__,smd,unm,,5,4,,,5,დავით,საყვარელიძე,დავით საყვარელიძე,,,
parl_2012,__main__,smd,fair_georgia_2012,,9,4,,,9,ხვიჩა,ასანიძე,ხვიჩა ასანიძე,,,
parl_2012,__main__,smd,christian_democrats_2012,,10,4,,,10,ზაზა,გაბუნია,ზაზა გაბუნია,,,
parl_2012,__main__,smd,new_rights_2012,,24,4,,,24,ლევან,ხურცილავა,ლევან ხურცილავა,,,
parl_2012,__main__,smd,labour,,38,4,,,38,კონსტანტინე,გუგუშვილი,კონსტანტინე გუგუშვილი,,,
parl_2012,__main__,smd,gd,,41,4,,,41,შოთა,ხაბარელი,შოთა ხაბარელი,,,
parl_2012,__main__,smd,free_georgia,,1,5,,,1,გელა,კეტაშვილი,გელა კეტაშვილი,,,
parl_2012,__main__,smd,unm,,5,5,,,5,გიორგი,ვაშაძე,გიორგი ვაშაძე,,,
parl_2012,__main__,smd,fair_georgia_2012,,9,5,,,9,ანა,უსტიაშვილი,ანა უსტიაშვილი,,,
parl_2012,__main__,smd,christian_democrats_2012,,10,5,,,10,ლევან,ვეფხვაძე,ლევან ვეფხვაძე,,,
parl_2012,__main__,smd,new_rights_2012,,24,5,,,24,რევაზ,სოხაძე,რევაზ სოხაძე,,,
parl_2012,__main__,smd,labour,,38,5,,,38,კახაბერ,ძაგანია,კახაბერ ძაგანია,,,
parl_2012,__main__,smd,gd,,41,5,,,41,ალექსანდრე,ქანთარია,ალექსანდრე ქანთარია,,,
parl_2012,__main__,smd,free_georgia,,1,6,,,1,ალექსანდრე,შალამბერიძე,ალექსანდრე შალამბერიძე,,,
parl_2012,__main__,smd,unm,,5,6,,,5,მიხეილ,მაჭავარიანი,მიხეილ მაჭავარიანი,,,
parl_2012,__main__,smd,christian_democrats_2012,,10,6,,,10,მაგდალინა,ანიკაშვილი,მაგდალინა ანიკაშვილი,,,
parl_2012,__main__,smd,labour,,38,6,,,38,გიორგი,ბიჭაშვილი,გიორგი ბიჭაშვილი,,,
parl_2012,__main__,smd,gd,,41,6,,,41,ზურაბ,აბაშიძე,ზურაბ აბაშიძე,,,
