"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burchuladze","ჯემალი მაჭარაშვილი",1,243,1129,591,182,486,1110,19,17,0.104158,0.523472,0.161205,0.430469,0.028765
"national","gd","ვაჟა კობერიძე",1,799,1129,591,182,486,1110,19,17,0.342477,0.523472,0.161205,0.430469,0.028765
"national","gd","ზაზა ლაშქარავა",1,575,1129,591,182,486,1110,19,17,0.246464,0.523472,0.161205,0.430469,0.028765
"national","unm","გიორგი მოსეშვილი",1,416,1129,591,182,486,1110,19,17,0.178311,0.523472,0.161205,0.430469,0.028765
"national","unm","ვასო ჯანაშია",1,300,1129,591,182,486,1110,19,17,0.12859,0.523472,0.161205,0.430469,0.028765
"1515","burchuladze","ჯემალი მაჭარაშვილი",1,243,1129,591,182,486,1110,19,17,0.166667,0.523472,0.161205,0.430469,0.028765
"1515","gd","ვაჟა კობერიძე",1,799,1129,591,182,486,1110,19,17,0.548011,0.523472,0.161205,0.430469,0.028765
"1515","unm","გიორგი მოსეშვილი",1,416,1129,591,182,486,1110,19,17,0.285322,0.523472,0.161205,0.430469,0.028765
"6407","gd","ზაზა ლაშქარავა",1,575,1371,598,236,499,1370,1,18,0.657143,0.436178,0.172137,0.363968,0.0301
"6407","unm","ვასო ჯანაშია",1,300,1371,598,236,499,1370,1,18,0.342857,0.436178,0.172137,0.363968,0.0301
