"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burchuladze","დავით დგებუაძე",1,279,1597,872,283,677,1588,9,106,0.004929,0.546024,0.177207,0.42392,0.12156
"national","burchuladze","ფახრად მუსაევი",1,1187,1597,872,283,677,1588,9,106,0.020968,0.546024,0.177207,0.42392,0.12156
"national","burchuladze","ჯონი კვარაცხელია",1,1222,1597,872,283,677,1588,9,106,0.021587,0.546024,0.177207,0.42392,0.12156
"national","free_democrats","დავით ვერავა",1,470,1597,872,283,677,1588,9,106,0.008303,0.546024,0.177207,0.42392,0.12156
"national","free_democrats","შმაგი გაფრინდაშვილი",1,1704,1597,872,283,677,1588,9,106,0.030101,0.546024,0.177207,0.42392,0.12156
"national","gd","გულია გოცირიძე",1,8295,1597,872,283,677,1588,9,106,0.146531,0.546024,0.177207,0.42392,0.12156
"national","gd","დავით კვარაცხელია",1,57,1597,872,283,677,1588,9,106,0.001007,0.546024,0.177207,0.42392,0.12156
"national","gd","ვახტანგ ცუცქირიძე",1,394,1597,872,283,677,1588,9,106,0.00696,0.546024,0.177207,0.42392,0.12156
"national","gd","ზურაბი ქადაგიძე",1,7543,1597,872,283,677,1588,9,106,0.133247,0.546024,0.177207,0.42392,0.12156
"national","gd","თაზო ფაცაცია",1,1854,1597,872,283,677,1588,9,106,0.032751,0.546024,0.177207,0.42392,0.12156
"national","gd","იაგო თოდუა",1,549,1597,872,283,677,1588,9,106,0.009698,0.546024,0.177207,0.42392,0.12156
"national","gd","ქეთევანი მამულაშვილი",1,11024,1597,872,283,677,1588,9,106,0.194739,0.546024,0.177207,0.42392,0.12156
"national","independent","გელა ვერულაშვილი",1,380,1597,872,283,677,1588,9,106,0.006713,0.546024,0.177207,0.42392,0.12156
"national","national_forum","თამაზ ბარათაშვილი",1,315,1597,872,283,677,1588,9,106,0.005564,0.546024,0.177207,0.42392,0.12156
"national","national_forum","მაია სამსონიძე",1,129,1597,872,283,677,1588,9,106,0.002279,0.546024,0.177207,0.42392,0.12156
"national","national_forum","ჯემალ ძაგნიძე",1,768,1597,872,283,677,1588,9,106,0.013567,0.546024,0.177207,0.42392,0.12156
"national","patriots","ირაკლი ლატარია",1,1904,1597,872,283,677,1588,9,106,0.033634,0.546024,0.177207,0.42392,0.12156
"national","patriots","ნინო კვარაცხელია",1,162,1597,872,283,677,1588,9,106,0.002862,0.546024,0.177207,0.42392,0.12156
"national","patriots","შალვა ცუცქირიძე",1,92,1597,872,283,677,1588,9,106,0.001625,0.546024,0.177207,0.42392,0.12156
"national","republicans_2016","გიორგი ჯალიაშვილი",1,406,1597,872,283,677,1588,9,106,0.007172,0.546024,0.177207,0.42392,0.12156
"national","republicans_2016","დავით ცაავა",1,225,1597,872,283,677,1588,9,106,0.003975,0.546024,0.177207,0.42392,0.12156
"national","republicans_2016","კახა სვანიძე",1,723,1597,872,283,677,1588,9,106,0.012772,0.546024,0.177207,0.42392,0.12156
"national","unm","ვლადიმერ ქანთარია",1,1239,1597,872,283,677,1588,9,106,0.021887,0.546024,0.177207,0.42392,0.12156
"national","unm","თამაზ ცუცქირიძე",1,228,1597,872,283,677,1588,9,106,0.004028,0.546024,0.177207,0.42392,0.12156
"national","unm","იაკობ ზაქარეიშვილი",1,4796,1597,872,283,677,1588,9,106,0.084722,0.546024,0.177207,0.42392,0.12156
"national","unm","რომეო ფარულავა",1,5938,1597,872,283,677,1588,9,106,0.104895,0.546024,0.177207,0.42392,0.12156
"national","unm","სალომე გაზდელიანი",1,4726,1597,872,283,677,1588,9,106,0.083485,0.546024,0.177207,0.42392,0.12156
"107","burchuladze","ფახრად მუსაევი",1,1187,1597,872,283,677,1588,9,106,0.065403,0.546024,0.177207,0.42392,0.12156
