district_id,party_id,votes,vote_share,registered,voted,invalid_ballots
1,social_democrats_1919,19000,0.813147,26931,23383,17
1,natparty_1919,2055,0.087948,26931,23383,17
1,dashnaks,1439,0.061585,26931,23383,17
1,federalists_1919,454,0.01943,26931,23383,17
1,raddem_1919,88,0.003766,26931,23383,17
1,indie_1919,71,0.003039,26931,23383,17
1,sr_1919,58,0.002482,26931,23383,17
1,national_democrats_1919,53,0.002268,26931,23383,17
1,muslim_1919,49,0.002097,26931,23383,17
1,borchalo_1919,42,0.001797,26931,23383,17
1,aesth_1919,13,0.000556,26931,23383,17
1,left_federalists_1919,10,0.000428,26931,23383,17
1,rustaveli_1919,0,0.0,26931,23383,17
1,sdwpr_1919,0,0.0,26931,23383,17
1,hellenic_1919,0,0.0,26931,23383,17
1,abkh_1919,0,0.0,26931,23383,17
2,social_democrats_1919,12121,0.568661,26764,21315,0
2,dashnaks,7758,0.363969,26764,21315,0
2,natparty_1919,657,0.030823,26764,21315,0
2,sr_1919,476,0.022332,26764,21315,0
2,federalists_1919,219,0.010274,26764,21315,0
2,left_federalists_1919,36,0.001689,26764,21315,0
2,national_democrats_1919,21,0.000985,26764,21315,0
2,raddem_1919,19,0.000891,26764,21315,0
2,borchalo_1919,7,0.000328,26764,21315,0
2,muslim_1919,1,0.000047,26764,21315,0
2,rustaveli_1919,0,0.0,26764,21315,0
2,indie_1919,0,0.0,26764,21315,0
2,sdwpr_1919,0,0.0,26764,21315,0
2,aesth_1919,0,0.0,26764,21315,0
2,hellenic_1919,0,0.0,26764,21315,0
2,abkh_1919,0,0.0,26764,21315,0
3,social_democrats_1919,12800,0.567074,41375,22572,0
3,federalists_1919,5511,0.244152,41375,22572,0
3,dashnaks,1855,0.082181,41375,22572,0
3,natparty_1919,860,0.0381,41375,22572,0
3,sr_1919,799,0.035398,41375,22572,0
3,hellenic_1919,522,0.023126,41375,22572,0
3,national_democrats_1919,153,0.006778,41375,22572,0
3,sdwpr_1919,37,0.001639,41375,22572,0
3,muslim_1919,6,0.000266,41375,22572,0
3,raddem_1919,5,0.000222,41375,22572,0
3,borchalo_1919,4,0.000177,41375,22572,0
